 $/ sq ft ,Sale Price,List Price,>90 Day Before Sale Zestimate,$ / sq ft for keywords,Close Date,Street Number,Street Name,Street Suffix,City,County,Zip5,,Beds Total,Baths.Lavs,Est Fin Abv Grd SqFt,Acreage,Architecture Level,Architecture Style, $/ sq ft ,Basement Type,,Sale Price,Exterior,Cooling,Exterior Features,Garage Dimensions,Garage Features,Garage Size,Heating,Original List Price,Photo Count,Pool YN,PUBLIC REMARKS,Avg,Count,Without,SqFt-Est Tot Fin,SqFt-Est Fin Lower Floor,SqFt-Est Fin Abv Grd,SqFt-Est Tot Bsmt,Year Built,Year Remodeled,Porch Type
 $ 175 ,174900,179900,,#N/A,09/21/2018,1219,OWANA,Avenue,Royal Oak,Oakland,48067,,3,1,1000,0.17,1 1/2 Story,Bungalow, $ 175 ,Unfinished,,174900,Vinyl,"Ceiling Fans 2+, Central Air",Fenced,,"Detached, Door Opener, Electricity, Side Entrance",2 Car,Forced Air,179900,1,FALSE,"LOTS OF POTENTIAL AND SOME MECHANICALS ALREADY DONE. VINYL WINDOWS, VINYL SIDING, NEWER WATER HEATER, NEWER ROOF, GLASS BLOCK. KITCHEN WAS OPENED UP AND REDONE IN MAPLE CABINETS IN '05. BAY WINDOW IN KITCHEN EATING SPACE. 6 PANEL DOORS. DOORWALL TO DECK. NEWER, OVERSIZED MECHANIC'S GARAGE WITH WALK UP ATTIC. HARDWOOD FLOORS UNDER CARPET. KNOTTY PINE UPSTAIRS WITH LOTS OF BUILT INS. DONDERO PARK ONE DOOR DOWN!",$210,154,$196,"1,774",600,"1,174","1,074",1949,,"Deck, Porch"
 $ 175 ,201000,209900,,#N/A,02/01/2019,1202,ENGLEWOOD,Avenue,Royal Oak,Oakland,48073,,3,1.1,1147,0.17,1 Story,Ranch, $ 175 ,Partially Finished,,201000,"Aluminum, Brick","Ceiling Fan, Central Air","Chimney Cap(s), Fenced, Outside Lighting",,"Attached, Direct Access, Door Opener, Electricity",2 Car,Forced Air,229000,26,FALSE,"OUTSTANDING OPPORTUNITY ORIGINAL OWNERS - NORTH ROYAL OAK BRICK RANCH - ON A HUGE CORNER LOT. FRESHLY PAINTED THROUGHOUT ""AGGREEABLE GRAY"" , BEAUTIFUL JUST REFINISHED HARDWOOD FLOORS THROUGHOUT.  UPDATES INCLUDE:  ROOF (2015), NEWER WINDOWS AND EXTERIOR DOORS (SOME WALLSIDE WINDOWS/DOORS), ATTACHED GARAGE W/NEWER GARAGE DOOR & OPENER.  SPACIOUS HEATED AND AIR-CONDITIONED BREEZEWAY ORIGINAL TO THE HOUSE AS POSSIBLE FAMILY ROOM.  ALL APPLIANCES ARE INCLUDED PLUS WASHER & DRYER.  ATTACHED OVERSIZE GARAGE; COVERED PRIVATE BACK PATIO; FULLY FENCED YARD.  HOME IS A BLOCK FROM ROYAL OAK EXCHANGE PARK ... PLAYGROUND, TENNIS COURTS, BASEBALL. MINUTES TO BOTH DOWNTOWN ROYAL OAK AND CLAWSON. PARTIALLY FINISHED BASEMENT WITH 1/2 BATH NEW DRYWALL AND POTENTIAL FOR ADDITIONAL FINISHED LIVING/ENTERTAINING SPACE. 1 YEAR HOME WARRANTY INCLUDED.",$210,154,$196,"1,407",117,"1,290",782,1917,2016,"Deck, Porch - Covered, Porch - Enclosed"
 $ 175 ,229900,229900,,#N/A,08/30/2018,628,BALDWIN,Avenue,Royal Oak,Oakland,48067,,3,1.1,1310,0.14,2 Story,Colonial, $ 175 ,"Interior Access Only, Unfinished",,229900,Vinyl,Central Air,"Fenced, Outside Lighting",,,No Garage,Forced Air,229900,16,FALSE,"GREAT OPPORTUNITY WITH AN OFFERING OF THIS 1994-BUILT ROYAL OAK COLONIAL, WITH 3 BEDROOMS AND 1.5 BATHS. NICE BRIGHT KITCHEN OPENS TO THE DINING SPACE AND LIVING ROOM, ALSO INCLUDES BREAKFAST AREA AND ALL APPLIANCES! CONVENIENT LAV ON THE FIRST FLOOR, WITH A SECOND FLOOR FULL BATH THAT HAS DUAL SINKS AND ACCESS TO THE MASTER BEDROOM! NICE OPEN PARTITIONED BASEMENT FOR STORAGE AND REC ROOM. DOORWALL OPENS TO PATIO AND LARGE BACKYARD! GREAT NEIGHBORHOOD MIX OF THE OLD AND NEW CONSTRUCTION, TRULY WALKABLE TO ROYAL OAK'S RESTAURANTS, SHOPS AND NIGHTLIFE!",$210,154,$196,"2,064",500,"1,564",500,1965,,Deck
 $ 176 ,242500,250000,,#N/A,06/22/2018,456,CAMBRIDGE,,Royal Oak,Oakland,48067,,3,1,1380,0.26,2 Story,Colonial, $ 176 ,Unfinished,,242500,"Aluminum, Other",Ceiling Fans 2+,,,Detached,1 Car,Forced Air,250000,29,FALSE,"CLASSIC ROYAL OAK COLONIAL CRAFTSMAN WITH A LARGE UNIQUE ""L"" SHAPE LOT.  TONS OF CHARM AND CHARACTER IN THIS 3 BED 1 BATH HOUSE WITH WOODS FLOORS AND WOOD TRIM THROUGHOUT.  CHARMING ENCLOSED ENTRY, PERFECT FOR SUMMER EVENINGS! DECK OVERLOOKING EXPANSIVE BACKYARD AND ANOTHER DRIVEWAY OFF JOSEPHINE WITH SO MANY POSSIBILITIES!  UPSTAIRS BEDROOMS HAVE WALK IN CLOSETS.  FANTASTIC LAYOUT READY FOR SOMEONE'S CREATIVITY TO TAKE OVER.",$210,154,$196,"1,968",700,"1,268",800,1953,,"Patio, Porch"
 $ 176 ,255000,255000,,#N/A,04/23/2018,2912,Main,Street,Royal Oak,Oakland,48073,,3,2,1450,0.13,2 Story,Colonial, $ 176 ,Unfinished,,255000,"Aluminum, Vinyl","Ceiling Fan, Central Air",Outside Lighting,,"Detached, Door Opener, Electricity",2 Car,Forced Air,275000,19,FALSE,"THE PERFECT MIX OF MODERN UPDATES WITH CLASSIC ROYAL OAK CHARM! TAKE A NICE WALK OR BIKE TO DOWNTOWN ROYAL OAK. OPEN CONCEPT WITH ADDITIONAL SITTING AREAS AND TONS OF WINDOWS FOR NATURAL LIGHT MAKES THIS GREAT FOR ENTERTAINING. BEAUTIFUL HARDWOOD FLOORS THROUGHOUT, NATURAL FIREPLACE AND MANY BUILT IN BENCHES AND SHELVES. YOU'LL HAVE TO SEE THE DETAILS AROUND THE FIREPLACE AND STAIRCASE!  THE WELL MAINTAINED AND QUIET BACKYARD HAS A BEAUTIFUL PAVER PATIO FOR YOUR SPRING AND SUMMER BBQS.  2 FULL BATHROOMS, ONE ON THE ENTRY AND ONE UPSTAIRS.  FULL SIZE 2 CAR GARAGE WITH AN OVERSIZED PAD FOR MORE ROOM FOR GUESTS.  SCHEDULE YOUR SHOWINGS NOW!",$210,154,$196,"1,801",800,"1,001",925,1950,,Porch
 $ 176 ,343000,337500,,#N/A,06/28/2018,2822,ELMHURST,Avenue,Royal Oak,Oakland,48073,,4,2,1950,0.15,2 Story,Cape Cod, $ 176 ,Partially Finished,,343000,"Brick, Vinyl","Ceiling Fans 2+, Wall Units 2+, Window Units 2+",Fenced,,Detached,2 Car,Baseboard,337500,52,FALSE,"FABULOUS MOVE-IN READY FAMILY HOME! WALKING DISTANCE TO ELEMENTARY AND HIGH SCHOOLS, 2 MILES FROM MIDDLE SCHOOL AND DOWNTOWN ROYAL OAK.  BEAUTIFUL HARDWOOD FLOORS THROUGHOUT.  LIVING ROOM WITH NATURAL FIREPLACE AND COVED CEILING OPENS TO DINING ROOM. SPACIOUS, CARPETED FAMILY ROOM OVERLOOKS REAR YARD WITH DOOR WALL TO NEWLY REFINISHED DECK, FIREPLACE, BREAKFAST BAR AND ENTRANCE TO OAK KITCHEN. MAIN FLOOR ALSO INCLUDES A FULL BATHROOM AND A BEDROOM.  THE HARDWOOD FLOORS CONTINUE UPSTAIRS TO 3 ADDITIONAL BEDROOMS AND ANOTHER FULL BATHROOM.  HUGE BASEMENT WITH REC ROOM AND SEPARATE WORK ROOM AND LARGE LAUNDRY ROOM WITH LOTS OF STORAGE SPACE. BATVAI",$210,154,$196,"1,389",400,989,600,1949,2009,Porch
 $ 176 ,251000,250000,,#N/A,07/24/2018,726,SUNNYBROOK,Drive,Royal Oak,Oakland,48073,,3,1.1,1426,0.14,2 Story,Colonial, $ 176 ,Unfinished,,251000,"Brick, Other","Ceiling Fan, Central Air",Fenced,,Detached,2 Car,Forced Air,250000,30,FALSE,"GREAT CURB APPEAL ON THIS CHARMING ROYAL OAK COLONIAL NESTLED BETWEEN TWO PARKS. PROFESSIONAL LANDSCAPING SURROUNDS THE HOUSE ALONG WITH A CUTE FRONT PORCH AND GREAT BACK DECK. GREAT FLOORPLAN AS YOU ENTER YOUR FOYER TO LARGE LIVING ROOM WITH BAY WINDOW THAT OPENS DIRECTLY TO THE DINING ROOM WITH A NEW DOORWALL THAT LEADS OUT TO YOUR DECK. DINING OPENS TO KITCHEN WITH PLENTY OF STORAGE SPACE AND ROOM TO MOVE AROUND. HALF BATH FINISHES OFF ENTRY FLOOR. SPACIOUS MASTER BEDROOM AND TWO OTHER BEDROOMS UPSTAIRS ALONG WITH FULL BATH WITH DUAL SINKS. GREAT FENCED YARD AND 2 CAR GARAGE. HUGE BASEMENT HAS LAUNDRY AREA AND ADDS TONS OF STORAGE AND POSSIBLE LIVING SPACE.  NEWER ROOF, WINDOWS, DRIVEWAY, AND FRONT DOOR.",$210,154,$196,"1,662",560,"1,102",630,1939,,
 $ 176 ,285000,289900,,#N/A,11/29/2018,937,WOODCREST,Drive,Royal Oak,Oakland,48067,,4,1,1619,0.13,1 1/2 Story,Cape Cod, $ 176 ,Partially Finished,,285000,"Aluminum, Wood",Central Air,Sprinkler(s),,"Detached, Door Opener, Electricity",2 Car,Forced Air,289900,17,FALSE,FOUR BEDROOM CRAFTSMAN STYLE HOME WITH TONS OF CHARM AND CHARACTER ON A GREAT STREET LOCATED CLOSE TO DOWNTOWN ROYAL OAK. BEAUTIFULLY REFINISHED HARDWOOD FLOORS. SPACIOUS LIVING ROOM HAS FIREPLACE WITH PEWABIC TILE SURROUND. LARGE DINING ROOM LEADS INTO BACK KITCHEN WITH ALL APPLIANCES INCLUDED. TWO BEDROOMS ON MAIN LEVEL AND TWO UPSTAIRS. PARTIALLY FINISHED BASEMENT. CENTRAL AIR. NEW ROOF 2012. COVERED FRONT PORCH. TWO CAR DETACHED GARAGE ON A NICE LOT WITH A DECK.,$210,154,$196,"1,733",598,"1,135","1,135",1955,,Porch - Covered
 $ 176 ,230975,229900,,#N/A,12/14/2018,2441,GLENVIEW,Avenue,Royal Oak,Oakland,48073,,3,1,1312,0.21,1 Story,Ranch, $ 176 ,Partially Finished,,230975,"Brick, Vinyl","Ceiling Fans 2+, Central Air","Chimney Cap(s), Fenced",,Detached,1 Car,Forced Air,229900,12,FALSE,"LOCATION! LOCATION! LOCATION!.  ROOMY RANCH IN NORTHWOOD SUBDIVISION SURROUNDED BY MANY HIGHER PRICED HOMES. LARGE LIVING ROOM BOASTS OF HARDWOOD FLOORS, LARGE PICTURE WINDOW, AND NATURAL FIREPLACE.  BONUS SIZE EAT-IN KITCHEN WITH WALK-IN PANTRY, ABUNDANT COUNTER SPACE AND STAINLESS STEEL APPLIANCES.  LARGE MASTER BEDROOM WITH A FULL WALL OF CLOSET SPACE.  THE CARPETED LOWER LEVEL IS THE PERFECT TOY ROOM. BRAND NEW ROOF WITH RECENTLY TUCK POINTED CHIMNEY. THE LARGE BACK YARD WITH THE TALL OAK TREES OFFER GREAT SUMMER TIME SHADE.  WALK TO JANE ADDAMS ELEMENTARY SCHOOL.",$210,154,$196,"1,275",,"1,275","1,275",1925,,
 $ 176 ,267500,275000,,#N/A,11/09/2018,3117,FERNCLIFF,Avenue,Royal Oak,Oakland,48073,,4,1.1,1518,0.14,2 Story,Colonial, $ 176 ,Partially Finished,,267500,"Brick, Vinyl","Ceiling Fan, Central Air",Outside Lighting,,"Detached, Door Opener, Electricity",2 Car,"ENERGY STAR® Qualified Furnace Equipment, Forced Air",295000,22,FALSE,"ELEGANCE AND CHARM THROUGHOUT THIS COMPLETELY UPDATED COLONIAL W/PARK AT THE END OF STREET IN NORTHWOOD SUB. COMPLETELY REMODELED KITCHEN W/HEATED PORCELAIN TILE FLOOR, SOFT CLOSE CABINETRY, IN AND UNDER CABINET LIGHTING, POT FILLER OVER STV, STAINLESS APPLIANCES, GRANITE COUNTERS, BACKSPLASH AND PANTRY. UPDATED FULL BATH 2018. NEW PLUMBING, SERVICE PANEL, DRIVEWAY, BLOWN INSULATION, VINYL SIDING ON GARAGE. FRESHLY PAINTED INCLUDING BASEMENT 2018, BALI WINDOW TREATMENTS, PLUS REF HARDWOOD FLOORS. DOORWALL W/BUILT IN BLINDS LEADS TO FLORIDA ROOM AND LOVELY YARD BACKING TO CUL DE SAC. EXCLUDE BUILT IN SPEAKERS.",$210,154,$196,"2,259","1,000","1,259","1,000",1959,,"Patio, Porch"
 $ 176 ,236000,239900,,#N/A,06/29/2018,1405,CATALPA,Drive,Royal Oak,Oakland,48067,,3,2,1339,0.1,2 Story,Colonial, $ 176 ,Partially Finished,,236000,Vinyl,Central Air,Fenced,,"Detached, Door Opener, Electricity",2 Car,Forced Air,249900,31,FALSE,"WELCOME HOME! FILLED WITH ORIGINAL CHARACTER & CHARM, IT'S EASY TO FALL IN LOVE WITH THIS 1920S ROYAL OAK DUTCH COLONIAL.  SPACIOUS FLOOR PLAN FEATURES OVERSIZED LIVING ROOM WITH GAS FIREPLACE; GENEROUS DINING ROOM; AND REAR SUNROOM THAT'S PERFECT FOR A HOME OFFICE, READING NOOK, YOGA SPACE, OR ADDITIONAL ROOM TO ENTERTAIN.  UNIQUE HARDWOOD FLOORS WITH CUSTOM PATTERNS AND ORIGINAL STAINED WOODWORK THROUGHOUT MOST OF HOME.  2ND FLOOR INCLUDES 3 BEDROOMS AND A NEWLY REMODELED BATHROOM WITH SHOWER & SEPARATE SOAKING TUB.  PARTIALLY FINISHED BASEMENT WITH FULL BATH.  YARD IS MOSTLY FENCED AND OFFERS PLENTY OF SPACE TO ADD A PATIO.  2-CAR GARAGE.  ADDITIONAL UPDATES INCLUDE: WATER HEATER (2015), UPPER BATHROOM (2016), GAS FIREPLACE (2016), GARAGE ROOF & FLAT SUNROOM ROOF (2017), SUMP PUMP (2018).  GREAT LOCATION WITH EASY ACCESS TO WOODWARD/FREEWAYS AND DOWNTOWN ROYAL OAK.  A MUST SEE!",$210,154,$196,"1,912",600,"1,312","1,312",1953,,Porch - Enclosed
 $ 176 ,220000,249900,,#N/A,07/05/2018,1002,BATAVIA,Avenue,Royal Oak,Oakland,48067,,4,1.1,1248,0.09,2 Story,Colonial, $ 176 ,Unfinished,,220000,Vinyl,Central Air,,,,No Garage,Forced Air,299900,16,FALSE,"COMPETLEY UPDATED 2017 SUPER SHARP 4 BEDROOM COLONIAL WALKING DISTANCE TO DOWNTOWN ROYAL OAK, FIRST FLOOR MASTER BEDROOM WITH UPDATED ½ BATH, UPDATED KITCHEN WITH GRANITE COUNTERS AND BRAND NEW STAINLESS STEEL APPLIANCES, UPDATED SECOND FLOOR FULL BATH, REFINISHED HARDWOOD FLOORS THROUGHOUT, LARGE LIVING ROOM, NEW DUCT WORK THROUGH OUT 2017, NEW ELECTRICAL WIRING & PANEL 2017, NEW FIXTURES 2017, ALL NEW HVAC SYSTEM 2017, NEW ROOF 2017, NEW WINDOWS 2017, NEW VINYL SIDING 2017, NEWLY BUILT TREK PORCH 2017, UP TO CITY CODE, NO EXPENSE WAS SPARED IN THIS HOME, WALKING DISTANCE TO HUDSON PARK, CLOSE DISTANCE TO ROYAL OAK MUSIC THEATRE, OAKLAND COMMUNITY COLLEGE, ROYAL OAK PUBLIC LIBRARY & ROYAL OAK FARMERS MARKET, ALL DATA APX.",$210,154,$196,"1,454",300,"1,154",792,1943,,"Patio, Porch"
 $ 176 ,250000,254900,,#N/A,02/28/2019,423,WEBSTER,Road,Royal Oak,Oakland,48073,,3,1.1,1417,0.18,2 Story,Colonial, $ 176 ,Unfinished,,250000,Brick,"Ceiling Fans 2+, Central Air",,,"1 Assigned Space, Detached",1 Car,Forced Air,255000,31,FALSE,"WELCOME TO 423 WEBSTER, AN IMMACULATE BRICK COLONIAL NESTLED ON A QUIET DEAD-END STREET IN ONE OF ROYAL OAK'S MOST PRESTIGIOUS NEIGHBORHOODS. RESTING ON AN ELEVATED EXTRA DEEP LOT (45X175), THIS CHARMING 3 BEDROOM HOME FEATURES ORIGINAL HARDWOOD FLOORS THROUGHOUT ALONG WITH A GAS FIREPLACE AND A 3 SEASONS ROOM TO ENJOY ON COOL AUTUMN EVENINGS. BEAUTIFUL ORIGINAL FINISHES INCLUDING COVE CEILINGS AND CLASSIC TRIM WORK ADORN THE SPACE ALONG WITH UPDATED WINDOWS, MECHANICALS AND BRAND NEW ROOF IN 2017. A THREE SEASONS ROOM OFF THE BACK OFF THE HOME OFFERS FUNCTIONAL LIVING SPACE AND ENABLES YOU TO ENJOY THE OUTDOORS WITHOUT BUGS OR RAIN. OWNERS HAVE RESIDED HERE SINCE 1985, ITS YOUR OPPORTUNITY TO TAKE OVER THEIR PRIDE OF OWNERSHIP! IMMEDIATE OCCUPANCY AVAILABLE.  PUBLIC OPEN HOUSE SATURDAY DEC 22 FROM 11:30-1:30P",$210,154,$196,"1,426",475,951,733,1949,,Porch
 $ 177 ,185900,189000,,#N/A,10/02/2018,1123,HICKORY,Avenue,Royal Oak,Oakland,48073,,3,2,1053,0.23,1 Story,Ranch, $ 177 ,Partially Finished,,185900,"Block/Concrete/Masonry, Brick",Central Air,"Fenced, Outside Lighting",20x20,Detached,2 Car,Forced Air,189000,22,FALSE,"CALLING ALL INVESTORS! THIS HOME IS IN A GREAT LOCATION AND CONDITION AND PRICE TO BE FLIPPED BY CONTRACTOR FOR PROFIT OR BY AN INDIVIDUAL FOR PERSONAL GAIN. A BUILDER MAY ALSO BE INTERESTED AS THERE ARE MANY HOMES THAT ARE IN THE $500K RANGE ON THIS BLOCK AND IN THE IS AREA. THE SELLER WANTS THIS GONE ASAP! LOOK AT THE COMPS AND BRING US AN OFFER! THE HOME HAS BEEN CLEARED OUT AND READY FOR REHAB. START NOW AND BE DONE FOR THE BEST SPRING MARKET. LOOKING FOR A REASONABLE OFFER AS WE SET A REASONABLE PRICE. NEWER WINDOWS, HARDWOOD FLOORS, TWO FULL BATHS AND EXCELLENT LOCATION.",$210,154,$196,"1,170",,"1,170","1,010",1952,,
 $ 177 ,415000,484900,,#N/A,05/18/2018,119,Woodside,Road,Royal Oak,Oakland,48073,,3,2.1,2350,0,2 Story,Colonial, $ 177 ,Unfinished,,415000,"Brick, Vinyl","Ceiling Fans 2+, Central Air",Sprinkler(s),,"Detached, Door Opener, Electricity",2 Car,Forced Air,484900,3,FALSE,"ANOTHER GREAT HILLAN HOME! OUR MALIBU STYLE ON A HUGE ROAK LOT! GREAT OPEN PLAN FEATURES: 1ST FLOOR STUDY; FIELD FINISHED WOOD FLOORS (1ST FLOOR); UPGRADED CARPET ON 2ND; CUSTOM CABINETS; GRANITE TOPS THROUGHOUT; MUDROOM WITH BUILT-INS; KITCHEN WITH OVER SIZED ISLAND; STAINLESS APPLIANCES & HUGE PANTRY; LR WITH GAS FP; MASTER WITH PANNED CEILING; GREAT MASTER BATH AND HUGE WALK-IN CLOSET; 2ND FL LAUNDRY; 9' BSMNT CEILING PRE-PLUMBED FOR 3RD FULL BATH; 2-CAR GARAGE; SPRINKLERS, SOD AND LANDSCAPE PACKAGE!",$210,154,$196,"1,229",500,729,720,1950,,Porch - Covered
 $ 177 ,400500,439900,,#N/A,01/17/2019,3526,DURHAM,Road,Royal Oak,Oakland,48073,,4,2.1,2263,0,2 Story,Colonial, $ 177 ,Finished,,400500,Wood,"Ceiling Fan, Central Air","Fenced, Sprinkler(s)",,Attached,2 Car,Forced Air,449999,35,FALSE,"WELCOME HOME! NEWER BUILT 4 BEDROOM, 2 ½ BATH, 9’ CEILINGS, UPGRADED HARDWOOD FLOORS, OPEN CONCEPT LIVING GREAT FOR ENTERTAINING. HUGE WALK IN PANTRY, MUDROOM WITH BUILT IN LOCKERS/BENCH AREA AND A DOUBLE DOOR COAT/STORAGE CLOSET. FIRST FLOOR HALF BATH NEXT TO A PRIVATE LAUNDRY ROOM. GAS FIREPLACE GREAT FOR THOSE CHILLY NIGHTS WITH VIEWS OF THE PROFESSIONALLY DONE BACKYARD INCLUDING A BUILT IN FIRE-PIT WITH SEATING FOR THOSE MICHIGAN SUMMER NIGHTS. WORKOUT/YOGA ROOM IN THE BASEMENT AND THE REMAINING PART OF THE BASEMENT IS READY TO BE FINISHED WITH A FULL BATH ALREADY PLUMBED. MASTER BATH FEATURES AN OVERSIZED WALK IN SHOWER AND A TUB PERFECT FOR A RELAXING SOAK AFTER A LONG DAY. COLOR SCHEME, LIGHT FIXTURES, AND CUSTOM DRAPES THROUGHOUT FROM RESTORATION HARDWARE AND STAYING WITH THE HOME! DON’T MISS OUT ON THIS GREAT HOME, BOOK YOUR SHOWING TODAY.",$210,154,$196,"1,672",700,972,768,1951,,"Patio, Porch"
 $ 177 ,210000,194900,,#N/A,10/26/2018,2225,HUDSON,Avenue,Royal Oak,Oakland,48067,,3,1,1184,0.14,1 Story,Ranch, $ 177 ,Unfinished,,210000,Brick,Central Air,"Fenced, Outside Lighting",,"Attached, Direct Access, Door Opener, Electricity",1 Car,Forced Air,194900,35,FALSE,"MOVE RIGHT IN TO THIS FABULOUS BRICK RANCH WITH BEAUTIFUL ROOMS, SPACIOUS EAT-IN KITCHEN, AND LARGE FAMILY ROOM THAT WALKS OUT TO GREAT BREEZEWAY AND LARGE YARD-ALL ON A SPACIOUS CORNER LOT!  LIGHT-FILLED LIVING ROOM WITH HUGE BAY WINDOW AND CHARMING WINDOW SEAT.  LARGE KITCHEN HAS EAT-IN AREA AND SUNNY WRAP-AROUND WINDOWS. FABULOUS FAMILY ROOM HAS TONS OF SPACE FOR LIVING AND ENTERTAINING. LARGE GREY AND WHITE BATH HAS GREAT VANITY AREA. BEDROOMS ARE SPACIOUS WITH BIG CLOSETS. FAMILY ROOM ALSO HAS A CLOSET AND CAN BE USED AS THE 3RD BEDROOM. BREEZEWAY IS A GREAT PLACE TO HANG OUT ON A COOL EVENING AND PROVIDES COVERED SPACE TO THE ATTACHED, OVERSIZED 1.5-CAR GARAGE. NEW ROOF 2017 AND NEWER WINDOWS THROUGHOUT.  BASEMENT HAS BEEN WATERPROOFED, IS TILED, AND INCLUDES POOL TABLE, FOOSBALL AND PING PONG TABLES. YARD HAS 2 SEPARATE FENCED-IN AREAS FOR ENTERTAINING AND CORRALLING THE DOG. GREAT LOCATION NEXT TO PARK AND ELEMENTARY. THIS IS TRULY A GREAT HOUSE, SO MAKE YOUR APPOINTMENT TODAY!",$210,154,$196,"1,039",,"1,039",,1939,,"Deck, Porch"
 $ 178 ,185000,189900,,#N/A,12/27/2018,1824,WESTGATE AVE,,Royal Oak,Oakland,48073,,3,1,1042,0.11,1 1/2 Story,Bungalow, $ 178 ,Partially Finished,,185000,"Aluminum, Vinyl","Ceiling Fan, Central Air",,12x12,Detached,1 Car,Forced Air,189900,25,FALSE,"GREAT ROYAL OAK BUNGALOW IN QUIET NEIGHBORHOOD, CLOSE TO DOWNTOWN.  KITCHEN BOASTS STAINLESS STEEL APPLIANCES, NEW DISHWASHER AND GLASS FRONT CABINETRY WITH AN ATTACHED BREAKFAST NOOK.  CHARACTER ABOUNDS WITH HARDWOOD FLOORS, EXPOSED BRICK AND COVED CEILINGS IN THE LIVING ROOM. UPDATED BATH WITH UPGRADED PLUMBING. FINISHED BASEMENT WITH BLACK PAINTED CEILINGS AND NEWER CARPET. DETACHED GARAGE OFFERS PLENTY OF STORAGE. CLOSE TO RIVER RUN GOLF CLUB...WATCH THE 4TH OF JULY FIREWORKS FROM THE BACKYARD!  NEW AIR CONDITIONING UNIT, NEW ELECTRICAL BOX INSTALLED IN 2012.",$210,154,$196,"1,071",,"1,071",816,1949,,Porch
 $ 178 ,272000,274900,,#N/A,08/14/2018,223,EDISON,Avenue,Royal Oak,Oakland,48067,,3,2,1532,0.1,2 Story,Colonial, $ 178 ,Unfinished,,272000,Vinyl,"Ceiling Fan, Central Air","Fenced, Outside Lighting",,Detached,1 Car,Forced Air,274900,22,FALSE,"MAJESTIC COLONIAL IN ROYAL OAK. FRONT LIVING ROOM FEATURES REFINISHED HARDWOOD FLOORS THROUGHOUT HOME, LEADED WINDOWS, AND TONS OF NATURAL LIGHT. THE DINING ROOM OFFERS CHARMING COVE CEILINGS. GORGEOUS NEW KITCHEN BOASTS NEW STAINLESS STEEL APPLIANCES, CUSTOM BACKSPLASH, AND WOOD CABINETS. COZY AROUND THE FIRE IN THE BONUS FAMILY ROOM WITH ACCESS TO LARGE BACK DECK AND FULL BATH. THREE NICE SIZED UPPER-LEVEL BEDROOMS SHARE AN UPDATED FULL BATH. LOWER LEVEL PROVIDES LAUNDRY, STORAGE, AND POTENTIAL LIVING SPACE. DETACHED ONE CAR GARAGE, SHORT DRIVE TO DOWNTOWN ROYAL OAK, AND QUIET NEIGHBORHOOD. BACKS UP TO PARK WITH ACCESS GATE, NEW ROOF, AND UPDATED ELECTRICAL, FURNACE, AND A/C. WELCOME HOME!",$210,154,$196,"1,157",,"1,157",754,1925,2014,"Deck, Patio"
 $ 178 ,310000,315000,,#N/A,06/18/2018,3326,PARKER,Drive,Royal Oak,Oakland,48073,,4,1.1,1745,0.17,2 Story,Colonial, $ 178 ,Unfinished,,310000,"Brick, Vinyl","Ceiling Fans 2+, Central Air","Fenced, Outside Lighting",,Detached,2 Car,Forced Air,315000,68,FALSE,"ENJOY THIS STUNNING UPDATED 4 BEDROOM BRICK COLONIAL IN THE 13 MILE AND WOODARD AREA OF ROYAL OAK - CLOSE TO EVERYTHING! LOCATED ON A CHARMING TREE LINED STREET NEAR BEAUMONT HOSPITAL. GREAT OPEN CONCEPT FLOOR PLAN, GOURMET KITCHEN WITH PLENTY OF CABINETS, GRANITE COUNTERS AND APPLIANCES ARE INCLUDED. LIVING ROOM WITH NATURAL WOOD FIREPLACE, FORMAL DINING ROOM, BEAUTIFUL HARDWOOD FLOORS, LARGE FAMILY ROOM WITH A SECOND NATURAL FIREPLACE AND DOOR WALL ONTO WOOD DECK AND PRIVATE DEEP YARD. THE HOME HAS MANY UPDATES INCLUDING: WINDOWS, GAS FORCED AIR FURNACE (2016) AND GENERAC GENERATOR (2016) THAT SERVICES THE ENTIRE HOUSE WITH THE EXCEPTION OF THE STOVE. FULL BASEMENT WITH BEAUTIFUL COMMERCIAL EPOXY FLOORS (2016), GLASS BLOCK WINDOWS (2016) AND OFFERS PLENTY OF STORAGE; BASEMENT CAN BE EASILY FINISHED FOR ADDITIONAL LIVING SPACE. THE WOOD DECK AND VERY PRIVATE BACK YARD IS PERFECT FOR BBQ'S, ENTERTAINING AND FAMILY FUN. OCCUPANCY COULD BE SOONER. HURRY BECAUSE THIS WON’T LAST LONG!",$210,154,$196,"1,775",500,"1,275",870,1945,2018,Deck
